id,create_stamp,modify_stamp,version,aircraft_carrier_id,content,exact_date,place_name,track_identifier,year
512155917725696000,2020/11/14 06:44:46.182000000,2020/11/14 06:44:46.182000000,0,512155913783050240,离开，计划部署西太。,7月31日,圣迭戈海军基地,轨迹一,2009年
512155917725696001,2020/11/14 06:44:46.182000000,2020/11/14 06:44:46.182000000,0,512155913783050240,抵达日本，计划进行港口访问。,8月28日,横须贺海军基地,轨迹一,2009年
512155917729890304,2020/11/14 06:44:46.183000000,2020/11/14 06:44:46.183000000,0,512155913783050240,抵达新加坡，进行港口拜访。,9月8日,樟宜海军基地,轨迹一,2009年
512155917729890305,2020/11/14 06:44:46.183000000,2020/11/14 06:44:46.183000000,0,512155913783050240,与里根（CVN 76）号航母一起，支持阿富汗的持久自由行动。,9月18日,北阿拉伯海,轨迹一,2009年
512155917729890306,2020/11/14 06:44:46.183000000,2020/11/14 06:44:46.183000000,0,512155913783050240,对巴林王国进行港口访问。,10月24日,哈利法·本·萨勒曼港,轨迹一,2009年
512155917729890307,2020/11/14 06:44:46.183000000,2020/11/14 06:44:46.183000000,0,512155913783050240,参加国际航空展。,11月19日,迪拜,轨迹一,2009年
512155917734084608,2020/11/14 06:44:46.184000000,2020/11/14 06:44:46.184000000,0,512155913783050240,12月4日，CVN 68在对杰贝·阿里（Jebel Ali）进行港口访问之后，返回北阿拉伯海，恢复了支持OEF的作战任务。,12月4日,杰贝·阿里港,轨迹一,2009年
512155917734084609,2020/11/14 06:44:46.184000000,2020/11/14 06:44:46.184000000,0,512155913783050240,进行了为期四天的自由港访问。,1月31日,泰国普吉岛,轨迹一,2010年
512155917734084610,2020/11/14 06:44:46.184000000,2020/11/14 06:44:46.184000000,0,512155913783050240,对吉隆坡进行自由访问。,2月7日,马来西亚巴生港,轨迹一,2010年
512155917734084611,2020/11/14 06:44:46.184000000,2020/11/14 06:44:46.184000000,0,512155913783050240,进行定期港口停靠。,2月17日,香港,轨迹一,2010年
512155917738278912,2020/11/14 06:44:46.185000000,2020/11/14 06:44:46.185000000,0,512155913783050240,到达布雷默顿海军基地，带回了电子攻击中队（VAQ）135的家属。,3月21日,布雷默顿海军基地,轨迹一,2010年
512155917738278913,2020/11/14 06:44:46.185000000,2020/11/14 06:44:46.185000000,0,512155913783050240,经过8个月的部署后返回了圣迭戈海军基地,3月26日,圣迭戈海军基地,轨迹一,2010年
512155917742473216,2020/11/14 06:44:46.186000000,2020/11/14 06:44:46.186000000,0,512155913783050240,,5月21日,圣迭戈海军基地,,2010年
512155917742473217,2020/11/14 06:44:46.186000000,2020/11/14 06:44:46.186000000,0,512155913783050240,进行了“蓝水”作战.,9月2日,圣迭戈海军基地,,2010年
512155917742473218,2020/11/14 06:44:46.186000000,2020/11/14 06:44:46.186000000,0,512155913783050240,进行了为期六天的活动，以在南加州南部海岸进行舰队替换中队的舰载机资格认证。,10月22日,圣迭戈海军基地,,2010年
512155917755056128,2020/11/14 06:44:46.189000000,2020/11/14 06:44:46.189000000,0,512155913783050240,进行了为期12个月的升级维修。,12月6日,布雷默顿海军基地,,2010年
512155917763444736,2020/11/14 06:44:46.191000000,2020/11/14 06:44:46.191000000,0,512155913783050240,到达了华盛顿州埃弗里特海军基地。,3月9日,埃弗里特海军基地,,2011年
512155917763444737,2020/11/14 06:44:46.191000000,2020/11/14 06:44:46.191000000,0,512155913783050240,,4月19日,圣迭戈海军基地,,2011年
512155917767639040,2020/11/14 06:44:46.192000000,2020/11/14 06:44:46.192000000,0,512155913783050240,离开。,5月7日,圣迭戈海军基地,,2011年
512155917767639041,2020/11/14 06:44:46.192000000,2020/11/14 06:44:46.192000000,0,512155913783050240,返回,5月16日,埃弗里特海军基地,,2011年
512155917767639042,2020/11/14 06:44:46.192000000,2020/11/14 06:44:46.192000000,0,512155913783050240,出发,6月11日,埃弗里特海军基地,轨迹二,2011年
512155917767639043,2020/11/14 06:44:46.192000000,2020/11/14 06:44:46.192000000,0,512155913783050240,进行了为期四天的港口停靠，然后参加环太平洋演习。,7月2日,珍珠港海军基地,轨迹二,2011年
512155917771833344,2020/11/14 06:44:46.193000000,2020/11/14 06:44:46.193000000,0,512155913783050240,演习,8月1日,珍珠港海军基地西北,轨迹二,2011年
512155917771833345,2020/11/14 06:44:46.193000000,2020/11/14 06:44:46.193000000,0,512155913783050240,休整,8月3日,珍珠港海军基地,轨迹二,2011年
512155917771833346,2020/11/14 06:44:46.193000000,2020/11/14 06:44:46.193000000,0,512155913783050240,圣迭戈海军基地,8月9日,圣迭戈海军基地,轨迹二,2011年
512155917771833347,2020/11/14 06:44:46.193000000,2020/11/14 06:44:46.193000000,0,512155913783050240,返回了埃弗里特海军基地,8月20日,埃弗里特海军基地,轨迹二,2011年
512155917771833348,2020/11/14 06:44:46.193000000,2020/11/14 06:44:46.193000000,0,512155913783050240,进行了综合训练部队演习（COMPTUEX）和联合特遣部队演习（JTFEX）。,9月29日,埃弗里特海军基地,轨迹二,2011年
512155917776027648,2020/11/14 06:44:46.194000000,2020/11/14 06:44:46.194000000,0,512155913783050240,为期三天的部队保护演习,10月13日,圣迭戈海军基地,轨迹二,2011年
512155917776027649,2020/11/14 06:44:46.194000000,2020/11/14 06:44:46.194000000,0,512155913783050240,返回,11月19日,埃弗里特海军基地,轨迹二,2011年
512155917776027650,2020/11/14 06:44:46.194000000,2020/11/14 06:44:46.194000000,0,512155913783050240,离开埃弗里特（Everett），在西太平洋和中东部署，比原定计划晚了近三个月。,3月20日,埃弗里特海军基地,轨迹二,2013年
